Title,Type,Platform,Priority,Test Case Type,Precondition,Steps,Expected Results,Folder,Tags
"2-Register success using valid credential",functional,web,critical,automation,Browser terbuka di halaman register,"1. Input valid email & password. 2. Klik Next. 3. Input valid Full Name & Phone. 4. Klik Next. 5. Input valid Company Name dll. 6. Klik Create Account",Pengguna berhasil registrasi dan masuk ke halaman selanjutnya,FR-01-Fitur Registrasi/Web,"p0,register,positive"
"4-Register failed using already registered email",functional,web,high,automation,Browser terbuka di halaman register,"1. Input email yang sudah terdaftar. 2. Input password. 3. Lanjutkan form. 4. Klik Create Account",Sistem menampilkan error 'Email has already been taken',FR-01-Fitur Registrasi/Web,"p1,register,negative"
"5-Register failed with mismatched confirm password",functional,web,medium,automation,Browser terbuka di halaman register,"1. Input email. 2. Input password. 3. Input confirm password yang berbeda",Tombol Next disable dan muncul error 'Passwords do not match',FR-01-Fitur Registrasi/Web,"p2,register,negative"
"6-Register failed with format email invalid",functional,web,medium,automation,Browser terbuka di halaman register,"1. Input email dengan format tidak valid (contoh: 1). 2. Input password",Tombol Next disable dan muncul error 'Please enter a valid email address',FR-01-Fitur Registrasi/Web,"p1,register,negative"
"7-Register failed with invalid phone number format",functional,web,medium,automation,Browser terbuka di halaman register,"1. Lolos Step 1. 2. Input Full Name. 3. Input nomor telepon kurang dari 9 digit",Tombol Next disable dan muncul error validasi nomor telepon,FR-01-Fitur Registrasi/Web,"p2,register,negative"
"8-Register failed with empty email and password",functional,web,high,automation,Browser terbuka di halaman register,"1. Kosongkan field email. 2. Kosongkan field password",Tombol Next tidak bisa diklik (disabled),FR-01-Fitur Registrasi/Web,"p1,register,negative"
"9-Register failed with weak password",functional,web,medium,automation,Browser terbuka di halaman register,"1. Input email. 2. Input password kurang dari 8 karakter",Tombol Next tidak bisa diklik (disabled),FR-01-Fitur Registrasi/Web,"p2,register,negative"
"10-Register failed with empty full name in Step 2",functional,web,medium,automation,Browser terbuka di halaman register,"1. Lolos Step 1. 2. Kosongkan field Full Name. 3. Input Phone Number",Tombol Next tidak bisa diklik (disabled),FR-01-Fitur Registrasi/Web,"p2,register,negative"
"11-Register failed with empty company name in Step 3",functional,web,medium,automation,Browser terbuka di halaman register,"1. Lolos Step 1 dan Step 2. 2. Kosongkan field Company Name. 3. Klik Create Account",Gagal submit karena HTML5 required validation,FR-01-Fitur Registrasi/Web,"p2,register,negative"
"12-Register success and verify JWT token in local storage",functional,web,high,automation,Browser terbuka di halaman register,"1. Isi form valid hingga akhir. 2. Klik Create Account. 3. Cek localStorage browser",access_token dan refresh_token tersimpan di localStorage,FR-01-Fitur Registrasi/Web,"p1,register,positive"
"13-Register success and verify API payload mapping",functional,web,medium,automation,Browser terbuka di halaman register,"1. Isi form valid hingga akhir. 2. Intercept network payload saat klik Create Account",Payload menggunakan parameter phone_number dan bukan phone,FR-01-Fitur Registrasi/Web,"p2,register,positive"
"14-Register success and verify redirect URL",functional,web,medium,automation,Browser terbuka di halaman register,"1. Isi form valid hingga akhir. 2. Klik Create Account. 3. Verifikasi URL",URL berubah dari halaman /register (redirect sukses),FR-01-Fitur Registrasi/Web,"p2,register,positive"
"TC-API-01: Should register a new user successfully and return JWT tokens",functional,api,critical,automation,API Endpoint Tersedia,"1. Hit endpoint POST /api/v1/auth/register dengan payload user valid",Mengembalikan status 201 Created dan response berisi JWT Tokens,FR-01-Fitur Registrasi/API,"api,register,positive"
"TC-API-02: Should return 422 when registering with an existing email",functional,api,high,automation,API Endpoint Tersedia,"1. Hit endpoint dengan email yang sudah ada di DB",Mengembalikan status 422 Unprocessable Entity (REGISTRATION_FAILED),FR-01-Fitur Registrasi/API,"api,register,negative"
"TC-API-03: Should return 422 when mandatory fields are missing",functional,api,high,automation,API Endpoint Tersedia,"1. Hit endpoint dengan payload kosong (tanpa email & password)",Mengembalikan status 422 dan pesan error untuk mandatory fields,FR-01-Fitur Registrasi/API,"api,register,negative"
"TC-API-04: Should correctly map old phone parameter to phone_number (BE-02)",functional,api,medium,automation,API Endpoint Tersedia,"1. Hit endpoint menggunakan parameter phone alih-alih phone_number",Backend tetap memproses dan response menyimpan di phone_number,FR-01-Fitur Registrasi/API,"api,register,positive"
"TC-API-05: Should return 422 for weak passwords (BE-04)",functional,api,medium,automation,API Endpoint Tersedia,"1. Hit endpoint dengan password 123",Mengembalikan status 422 dan error validasi password lemah,FR-01-Fitur Registrasi/API,"api,register,negative"
"TC-API-06: Should auto-assign default trial package upon successful registration (BE-05 & BE-08)",functional,api,high,automation,API Endpoint Tersedia,"1. Hit endpoint register sukses. 2. Hit /api/v1/user pakai Token",Status user active dan memiliki default trial package,FR-01-Fitur Registrasi/API,"api,register,positive"
"TC-API-07: Verify activity logging for registration (BE-07) [Requires DB Access / Admin API]",functional,api,medium,automation,API Endpoint Tersedia,"1. Register sukses. 2. Cek activity log admin",Terdapat log aktivitas REGISTER untuk email tersebut,FR-01-Fitur Registrasi/API,"api,register,positive"
